FECHA_CORTE;CODIGO_ORDEN;ANIO;CONVENIO;TIPO_SUBVENCION;TIPO_CONVOCATORIA;CONVOCATORIA;ESQUEMA_FINANCIERO;ENTIDAD_EJECUTORA_SUBVENCIONADO;TIPO_ENTIDAD ;SEXO;DESCRIPCION;MONEDA;MONTO;IMPORTE_FONDECYT ;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO
20240530;01031-2015;2015;ERANet-LAC;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;ERANet-LAC - EF-035 - EraNet-Lac - 2014-01;E035 - ERANet LAC - Proyectos de Investigación Colaborativa;WAIRA ENERGIA S.A.C.;EMPRESA;MASCULINO;Efficient energy management industrial microgrids with high penetration of PV technology;EURO;52140.00;182490.00;LIMA;LIMA;SAN BORJA;150130
20240530;01034-2015;2015;ERANet-LAC;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;ERANet-LAC - EF-035 - EraNet-Lac - 2014-01;E035 - ERANet LAC - Proyectos de Investigación Colaborativa;UNIVERSIDAD PERUANA CAYETANO HEREDIA;UNIVERSIDAD;FEMENINO;Recognition of the primary infection by Pheumocystis in infants: a silent threat to public health;EURO;100000.00;350000.00;LIMA;LIMA;SAN BORJA;150130
20240530;01037-2015;2015;ERANet-LAC;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;ERANet-LAC - EF-035 - EraNet-Lac - 2014-01;E035 - ERANet LAC - Proyectos de Investigación Colaborativa;UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS;UNIVERSIDAD;MASCULINO;Detecting drug resistant Mycobacterium Tuberculosis with low cost next generation technology ;EURO;49943.00;174800.50;LIMA;LIMA;SAN BORJA;150130
20240530;01040-2015;2015;ERANet-LAC;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;ERANet-LAC - EF-035 - EraNet-Lac - 2014-01;E035 - ERANet LAC - Proyectos de Investigación Colaborativa;UNIVERSIDAD PERUANA CAYETANO HEREDIA;UNIVERSIDAD;FEMENINO;"Screening marine microalgae and terrestrial bacteria; in search of novel compounds of potential medicinal and other industrial values";EURO;100000.00;350000.00;LIMA;LIMA;SAN BORJA;150130
20240530;01043-2015;2015;ERANet-LAC;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;ERANet-LAC - EF-035 - EraNet-Lac - 2014-01;E035 - ERANet LAC - Proyectos de Investigación Colaborativa;UNIVERSIDAD PERUANA CAYETANO HEREDIA;UNIVERSIDAD;MASCULINO;Detecting drug resistant Mycobacterium Tuberculosis with low cost next generation technology ;EURO;70000.00;245000.00;LIMA;LIMA;SAN BORJA;150130
20240530;01067-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-042 - Proyectos con Areas Prioritarias Regionales - 2015-01;E042 - Proyectos en Areas Prioritarias Regionales;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;UNIVERSIDAD;FEMENINO;Diseño científico, legal y financiero del Instituto científico del Agua - ICA;S/.;1000000.00;1000000.00;LIMA;LIMA;SAN BORJA;150130
20240530;01070-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD CATOLICA DE SANTA MARIA;UNIVERSIDAD;MASCULINO;Co-administración de inhibidores de la glicoproteína-p como alternativa terapéutica en el tratamiento contra la epilepsia;S/.;400000.00;400000.00;LIMA;LIMA;SAN BORJA;150130
20240530;01073-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD CATOLICA DE SANTA MARIA;UNIVERSIDAD;FEMENINO;Diseño, caracterización y evaluación de sistemas liposomales a base de macamidas, vectorizados hacia el sistema nervioso central para el tratamiento de la epilepsia;S/.;400000.00;400000.00;LIMA;LIMA;SAN BORJA;150130
20240530;01076-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD CATOLICA DE SANTA MARIA;UNIVERSIDAD;MASCULINO;Identificacion y evalución de los polimorfismos de nucleotido único (SNPs) MDR1 y CITOCROMO P450 CYP3A4 Y CY2C9, en la resistencia a fármacos antiepilépticos en pacientes peruanos;S/.;400000.00;400000.00;LIMA;LIMA;SAN BORJA;150130
20240530;01079-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;INSTITUTO GEOFISICO DEL PERU;INSTITUTO DE INVESTIGACIÓN;MASCULINO;Influencia de los páramos en la erosión y conservación de suelos andinos, e identificación de su rol en la regulación del recurso hídrico en grandes ciudades alto andinas;S/.;379810.00;379810.00;LIMA;LIMA;SAN BORJA;150130
20240530;01082-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN;UNIVERSIDAD;MASCULINO;Tratamiento biotecnológico con enzimas termoestables bacterianas para el destinado del papel periódico y de oficina en su proceso de reciclado;S/.;156000.00;156000.00;LIMA;LIMA;SAN BORJA;150130
20240530;01085-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;INSTITUTO GEOFISICO DEL PERU;INSTITUTO DE INVESTIGACIÓN;MASCULINO;Estudio de la deformación de la corteza terrestre y estimación del acoplamiento intersísmico a partir de mediciones geodésicas, para evaluar el potencial sísmico en la zona de subducción Centro Norte de Perú;S/.;398245.00;398245.00;LIMA;LIMA;SAN BORJA;150130
20240530;01088-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA;UNIVERSIDAD;MASCULINO;Estrategias tecnológicas para reducir el contenido de cadmio en las almendras del cultivo de cacao;S/.;399956.00;399956.00;LIMA;LIMA;SAN BORJA;150130
20240530;01091-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;INSTITUTO GEOFISICO DEL PERU;INSTITUTO DE INVESTIGACIÓN;MASCULINO;Observaciones astronómicas de precisión con telescopio robótico en el observatorio de Huancayo;S/.;400000.00;400000.00;LIMA;LIMA;SAN BORJA;150130
20240530;01094-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD DE LIMA;UNIVERSIDAD;MASCULINO;Desarrollo de un prototipo de reactor fotocatalítico solar de alta turbulencia con nano partículas de TiO2 inmovilizadas en acero para desinfección de agua de uso agrícola;S/.;280745.00;280745.00;LIMA;LIMA;SAN BORJA;150130
20240530;01097-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;CENTRO DE FERTILIDAD Y REPRODUCCION ASISTIDA S.A.C.;EMPRESA;MASCULINO;Maduración in vitro de ovocitos como tratamiento alternativo para pacientes con estrés oxidativo ovárico;S/.;400000.00;400000.00;LIMA;LIMA;SAN BORJA;150130
20240530;01100-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD DE LIMA;UNIVERSIDAD;MASCULINO;Nuevos procesos fotoelectroquímicos con materiales nanoestructurados para la eliminación de contaminantes orgánicos en medios acuosos;S/.;375400.00;375400.00;LIMA;LIMA;SAN BORJA;150130
20240530;01103-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD PRIVADA ANTENOR ORREGO;UNIVERSIDAD;MASCULINO;Desarrollo y producción de nano partículas de quitosano a partir de residuos de langostino con potencial aplicación en angiografía por resonancia magnética (AMR);S/.;351743.80;351743.80;LIMA;LIMA;SAN BORJA;150130
20240530;01106-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD PRIVADA ANTENOR ORREGO;UNIVERSIDAD;MASCULINO;Eficacia de inhibidores de proteasas obtenidos a partir de plantas endémicas del Perú como control biológico de la Cochinilla harinosa (hemiptera: pseudococcidae) que afecta el cultivo de vid (Vitis vinifera) del departamento de Piura;S/.;395836.00;395836.00;LIMA;LIMA;SAN BORJA;150130
20240530;01108-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD PERUANA CAYETANO HEREDIA;UNIVERSIDAD;MASCULINO;Búsqueda de nuevas moléculas antibióticas aisladas de la diversidad microbiana del intestino de una mosca peruana saprófaga;S/.;400000.00;400000.00;LIMA;LIMA;SAN BORJA;150130
20240530;01111-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD PERUANA CAYETANO HEREDIA;UNIVERSIDAD;MASCULINO;Ecofisiología de Lepidium meyenii walp. (maca): Influencia del estrés térmico, hídrico, la altitud y la disposición del suelo sobre el desempeño de semillas procedentes de hipocótilos de diferente color;S/.;400000.00;400000.00;LIMA;LIMA;SAN BORJA;150130
20240530;01114-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD PERUANA CAYETANO HEREDIA;UNIVERSIDAD;MASCULINO;Hacia el desarrollo de pruebas rápidas para la detección de Sapovirus. Etapa I : Identificación de genogrupos y diseño de partículas tipo virus (Viral Like Particles- VLPS);S/.;400000.00;400000.00;LIMA;LIMA;SAN BORJA;150130
20240530;01117-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD PERUANA CAYETANO HEREDIA;UNIVERSIDAD;FEMENINO;Generación de una plataforma proteómica de alta procesividad para la identificación de nanocuerpos recombinantes de alpaca generados contra antígenos de relevancia biomédica;S/.;400000.00;400000.00;LIMA;LIMA;SAN BORJA;150130
20240530;01120-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD PERUANA CAYETANO HEREDIA;UNIVERSIDAD;MASCULINO;Evaluación de chalconas contra el parásito intracelular leishmania;S/.;400000.00;400000.00;LIMA;LIMA;SAN BORJA;150130
20240530;01123-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD PERUANA CAYETANO HEREDIA;UNIVERSIDAD;FEMENINO;Celdas microbianas productoras de bioelectricidad aplicadas al tratamiento de aguas ácidas: Evaluación de electrodos y cultivos microbianos;S/.;381195.00;381195.00;LIMA;LIMA;SAN BORJA;150130
20240530;01126-2015;2015;PROCIENCIA;PROYECTOS INVESTIGACIÓN;INVESTIGACIÓN CIENTÍFICA;EF-041 - Proyectos de investigación básica y aplicada ;E041 - Proyectos de Investigación Básica y Aplicada;UNIVERSIDAD PERUANA CAYETANO HEREDIA;UNIVERSIDAD;MASCULINO;Producción y ensayo de nuevos antibióticos mediante combinatoria genética y el desarrollo de una bacteria bi-funcional E.coli-M.tuberculosis;S/.;400000.00;400000.00;LIMA;LIMA;SAN BORJA;150130
