DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,CODIGO_INFRACCION,INFRACCION,FECHA_INFRACCION,HORA_INFRACCION,MONTO_INFRACCION,LUGAR_INFRACCION,CONDUCTOR_PRESENTE,CONDUCTOR_TENIA_LICENCIA,CONDUCTOR_CATEGORIA_LICENCIA,PLACA_VEHICULO,TIPO_TRANSPORTE,TIPO_SERVICIO,TUC_ESTADO,EMPRESA,INTERNAMIENTO_VEHICULO,FECHA_INTERNAMIENTO,MULTA_INTERNAMIENTO,SE_PAGO_MULTAS,FECHA_PAGO_MULTAS,FECHA_DESINTERNAMIENTO,FECHA_CORTE
CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,9254,"POR PRESTAR EL SERVICIO DE TRANSPORTE PÚBLICO ESPECIAL POR CIRCULAR POR EL PERÍMETRO DE LA PLAZA DE ARMAS, O POR VÍAS NO AUTORIZADAS",20220104,541,230,JR. DOS DE MAYO C - 8,SI,SI,B - II c,1692-5F,PUBLICO,Transporte Especial en Mototaxi,TUC VIGENTE,Empresa de Transporte Monte Santo EIRL.,SI,20220104,29.2,SI,20220105,20220107,20230615
CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,9254,"POR PRESTAR EL SERVICIO DE TRANSPORTE PÚBLICO ESPECIAL POR CIRCULAR POR EL PERÍMETRO DE LA PLAZA DE ARMAS, O POR VÍAS NO AUTORIZADAS",20220104,541,230,JR. DOS DE MAYO C - 8,SI,SI,B - II c,1692-5F,PUBLICO,Transporte Especial en Mototaxi,TUC VIGENTE,Empresa de Transporte Monte Santo EIRL.,SI,20220104,29.2,SI,20220105,20220107,20230615
CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,9250,"PRESTAR EL SERVICIO DE TRANSPORTE PÚBLICO ESPECIAL SIN HABER OBTENIDO LA TUC O ESTE SE ENCUENTRE SUSPENDIDO, VENCIDO O CANCELADO.",20220104,554,230,PLAZUELA BOLOGNESI C - 5,SI,SI,B - II c,7019-LB,PUBLICO,Transporte Especial en Mototaxi,-,SIN EMPRESA,SI,20220104,29.2,SI,20220105,20220107,20230615
CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,9250,"PRESTAR EL SERVICIO DE TRANSPORTE PÚBLICO ESPECIAL SIN HABER OBTENIDO LA TUC O ESTE SE ENCUENTRE SUSPENDIDO, VENCIDO O CANCELADO.",20220104,554,230,PLAZUELA BOLOGNESI C - 5,SI,SI,B - II c,7019-LB,PUBLICO,Transporte Especial en Mototaxi,-,SIN EMPRESA,SI,20220104,29.2,SI,20220105,20220107,20230615
CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,9253,"POR PRESTAR EL SERVICIO DE TRANSPORTE PÚBLICO ESPECIAL POR CIRCULAR POR EL PERÍMETRO DE LA PLAZA DE ARMAS, O POR VÍAS NO AUTORIZADAS",20220104,556,230,JR. DOS DE MAYO C - 8,SI,SI,B - II c,C1-1970,PUBLICO,Transporte Especial en Mototaxi,TUC VIGENTE,Antonio Galvez EIRL.,SI,20220104,29.2,SI,20220106,20220107,20230615
CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,9253,"POR PRESTAR EL SERVICIO DE TRANSPORTE PÚBLICO ESPECIAL POR CIRCULAR POR EL PERÍMETRO DE LA PLAZA DE ARMAS, O POR VÍAS NO AUTORIZADAS",20220104,556,230,JR. DOS DE MAYO C - 8,SI,SI,B - II c,C1-1970,PUBLICO,Transporte Especial en Mototaxi,TUC VIGENTE,Antonio Galvez EIRL.,SI,20220104,29.2,SI,20220106,20220107,20230615
CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,9238,"POR PRESTAR EL SERVICIO DE TRANSPORTE PÚBLICO ESPECIAL POR CIRCULAR POR EL PERÍMETRO DE LA PLAZA DE ARMAS, O POR VÍAS NO AUTORIZADAS",20220104,602,230,JR. DOS DE MAYO C - 8,SI,SI,B - II c,1129-MA,PUBLICO,Transporte Especial en Mototaxi,TUC VIGENTE,Empresa de Transportes y Servicios Generales Carmona SRL.,SI,20220104,29.2,SI,20220105,20220107,20230615
CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,9238,"POR PRESTAR EL SERVICIO DE TRANSPORTE PÚBLICO ESPECIAL POR CIRCULAR POR EL PERÍMETRO DE LA PLAZA DE ARMAS, O POR VÍAS NO AUTORIZADAS",20220104,602,230,JR. DOS DE MAYO C - 8,SI,SI,B - II c,1129-MA,PUBLICO,Transporte Especial en Mototaxi,TUC VIGENTE,Empresa de Transportes y Servicios Generales Carmona SRL.,SI,20220104,29.2,SI,20220105,20220107,20230615
CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,9255,PRESTAR EL SERVICIO DE TRANSPORTE PÚBLICO ESPECIAL SIN HABER OBTENIDO LA LICENCIA DE CONDUCTOR O ESTE SE ENCUENTRE VENCIDO O CANCELADO O CUYA CATEGORÍA NO CORRESPONDE AL VEHÍCULO QUE CONDUCE,20220104,803,230,JR. AYACUCHO C - 8,SI,NO,-,0019-PA,PUBLICO,Transporte Especial en Mototaxi,-,SIN EMPRESA,SI,20220104,109.5,SI,20220118,20220118,20230615
CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,9255,CIRCULAR O PRESTAR EL SERVICIO DE TRANSPORTE PÚBLICO ESPECIAL SIN TENER EL SOAT O AFOCAT O ESTE NO SE ENCUENTRE VIGENTE,20220104,803,230,JR. AYACUCHO C - 8,SI,NO,-,0019-PA,PUBLICO,Transporte Especial en Mototaxi,-,SIN EMPRESA,SI,20220104,109.5,SI,20220118,20220118,20230615
